"filename", "language", "C#", "XML", "JSON", "Properties", "comment", "blank", "total"
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\bin\Debug\net8.0\ChatClient.DataBase.deps.json", "JSON", 0, 0, 1564, 0, 0, 0, 1564
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\bin\Debug\net8.0\ChatClient.DataBase.runtimeconfig.json", "JSON", 0, 0, 13, 0, 0, 0, 13
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\bin\Release\net8.0\ChatClient.DataBase.deps.json", "JSON", 0, 0, 1599, 0, 0, 0, 1599
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\bin\Release\net8.0\ChatClient.DataBase.runtimeconfig.json", "JSON", 0, 0, 14, 0, 0, 0, 14
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\obj\ChatClient.DataBase.csproj.nuget.dgspec.json", "JSON", 0, 0, 242, 0, 0, 0, 242
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\obj\ChatClient.DataBase.csproj.nuget.g.props", "XML", 0, 27, 0, 0, 0, 0, 27
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\obj\ChatClient.DataBase.csproj.nuget.g.targets", "XML", 0, 16, 0, 0, 0, 0, 16
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\obj\Debug\net8.0\ChatClient.DataBase.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\obj\Debug\net8.0\ChatClient.DataBase.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 20, 0, 1, 21
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\obj\Debug\net8.0\ChatClient.DataBase.GlobalUsings.g.cs", "C#", 17, 0, 0, 0, 1, 1, 19
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\obj\Release\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\obj\Release\net8.0\ChatClient.DataBase.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\obj\Release\net8.0\ChatClient.DataBase.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 20, 0, 1, 21
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\obj\Release\net8.0\ChatClient.DataBase.GlobalUsings.g.cs", "C#", 17, 0, 0, 0, 1, 1, 19
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\obj\project.assets.json", "JSON", 0, 0, 3840, 0, 0, 0, 3840
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\obj\project.packagespec.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\App.axaml", "XML", 0, 32, 0, 0, 0, 2, 34
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\App.axaml.cs", "C#", 77, 0, 0, 0, 23, 15, 115
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\ChatClient.Desktop.csproj", "XML", 0, 74, 0, 0, 1, 12, 87
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Program.cs", "C#", 20, 0, 0, 0, 4, 5, 29
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Publish.xml", "XML", 0, 13, 0, 0, 0, 1, 14
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\ViewModels\ChatPages\ChatViewModel.cs", "C#", 9, 0, 0, 0, 0, 3, 12
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\ViewModels\ChatPages\ContactsViewModel.cs", "C#", 89, 0, 0, 0, 0, 12, 101
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\ViewModels\ChatPages\ThemeViewModel.cs", "C#", 56, 0, 0, 0, 0, 12, 68
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\ViewModels\ChatPages\UserOptionsViewModel.cs", "C#", 57, 0, 0, 0, 0, 10, 67
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\ViewModels\Login\LoginViewModel.cs", "C#", 162, 0, 0, 0, 3, 35, 200
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\ViewModels\Login\LoginWindowViewModel.cs", "C#", 31, 0, 0, 0, 0, 6, 37
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\ViewModels\Login\RegisterWindowViewModel.cs", "C#", 162, 0, 0, 0, 0, 30, 192
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\ViewModels\MainWindowViewModel.cs", "C#", 154, 0, 0, 0, 4, 30, 188
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\ViewModels\UserControls\UserHeadEditViewModel.cs", "C#", 151, 0, 0, 0, 2, 34, 187
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\ChatPages\ChatView.axaml", "XML", 0, 47, 0, 0, 0, 4, 51
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\ChatPages\ChatView.axaml.cs", "C#", 11, 0, 0, 0, 0, 2, 13
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\ChatPages\ContactsView.axaml", "XML", 0, 73, 0, 0, 0, 4, 77
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\ChatPages\ContactsView.axaml.cs", "C#", 11, 0, 0, 0, 0, 2, 13
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\ChatPages\ThemeView.axaml", "XML", 0, 239, 0, 0, 0, 5, 244
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\ChatPages\ThemeView.axaml.cs", "C#", 11, 0, 0, 0, 0, 2, 13
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\ChatPages\UserOptionView.axaml", "XML", 0, 170, 0, 0, 0, 1, 171
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\ChatPages\UserOptionView.axaml.cs", "C#", 25, 0, 0, 0, 0, 3, 28
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\Login\LoginView.axaml", "XML", 0, 84, 0, 0, 0, 1, 85
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\Login\LoginView.axaml.cs", "C#", 9, 0, 0, 0, 0, 2, 11
